Location,Number of Deaths,Year
"Suffolk, MA",58,2004
"Suffolk, MA",57,2005
"Suffolk, MA",56,2006
"Suffolk, MA",55,2007
"Suffolk, MA",60,2008
"Suffolk, MA",58,2009
"Suffolk, MA",55,2010
"Suffolk, MA",52,2011
"Suffolk, MA",50,2012
"Suffolk, MA",44,2013
"Suffolk, MA",45,2014
"Suffolk, MA",47,2015
"Suffolk, MA",47,2016
"Suffolk, MA",45,2017
"Suffolk, MA",44,2018
"Suffolk, MA",41,2019
"Suffolk, MA",38,2020
